,0
0,0.5389537811279297
1,0.5397799015045166
2,0.5399625301361084
3,0.5400887131690979
4,0.5424041152000427
5,0.5400425791740417
6,0.5395466089248657
7,0.5391551852226257
8,0.5394148230552673
9,0.5387634038925171
10,0.5390728712081909
11,0.5391634106636047
12,0.5408385396003723
13,0.5401793122291565
14,0.5399460792541504
15,0.539685845375061
16,0.5394117832183838
17,0.5395119786262512
18,0.5393776893615723
19,0.5396365523338318
20,0.5397711396217346
21,0.5401259064674377
22,0.5395344495773315
23,0.5398585796356201
24,0.5401241779327393
25,0.5394867062568665
26,0.5395780205726624
27,0.539641261100769
28,0.5392780900001526
29,0.5391355156898499
30,0.5396779775619507
31,0.5395167469978333
32,0.5396931767463684
33,0.5398852825164795
34,0.5397749543190002
35,0.5390750765800476
36,0.5396256446838379
37,0.5394871234893799
38,0.5396173596382141
39,0.5397114753723145
40,0.5398052334785461
41,0.5395154356956482
42,0.5394777059555054
43,0.5390024781227112
44,0.5398098230361938
45,0.5395063757896423
46,0.5398622751235962
47,0.5400723218917847
48,0.5397512912750244
49,0.5394935607910156
50,0.5392624139785767
51,0.5396463871002197
52,0.5394020080566406
53,0.538826584815979
54,0.5392341017723083
55,0.5391935110092163
56,0.5407256484031677
57,0.54071444272995
58,0.5398890972137451
59,0.5399193167686462
60,0.5407459139823914
61,0.5395871996879578
62,0.539703369140625
63,0.539847195148468
64,0.5398813486099243
65,0.5399644374847412
66,0.5405356884002686
67,0.5391210913658142
68,0.539436936378479
69,0.5398172736167908
70,0.5394017696380615
71,0.5397441387176514
72,0.5390235185623169
73,0.539563775062561
74,0.5402006506919861
75,0.5394372344017029
76,0.5391197204589844
77,0.5397357940673828
78,0.5395427942276001
79,0.5403879880905151
80,0.5396704077720642
81,0.5397639274597168
82,0.5395774841308594
83,0.5392279624938965
84,0.5407374501228333
85,0.5399599671363831
86,0.5397878885269165
87,0.5400973558425903
88,0.5395586490631104
89,0.5392278432846069
90,0.5394101738929749
91,0.539129376411438
92,0.5393165946006775
93,0.5398403406143188
94,0.5401009917259216
95,0.5393841862678528
96,0.5396175980567932
97,0.5433996915817261
98,0.540064811706543
99,0.5393586754798889
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
